,ID,GENERO,RENTA,EDAD,NIV_EDUC,E_CIVIL,COD_OFI,COD_COM,D_Marzo,D_Abril,D_Mayo,D_Junio,D_Julio,D_Agosto,D_Septiembre,D_min,D_max,D_std,M_MOROSO,MONTO,SEGURO,FUGA,D_Marzo2,D_Abril2,D_Mayo2,D_Junio2,D_Julio2,D_Agosto2,D_Septiembre2,VM_AbrilMarzo,VM_MayoAbril,VM_JunioMayo,VM_JulioJunio,VM_AgostoJulio,VM_SeptiembreAgosto,logVM_AbrilMarzo,Monto_Total_Deuda,logMTD,Frecuencia
0,1,0,746476,39,12,1,68,213,0,38292,0,434357,1766,9110,340,340.0,434357.0,161643,2,2000000,NO,NO FUGA,1,38293,1,434358,1767,9111,341,38293.0,2.611443344736636e-05,434358.0,0.0040680728799745835,5.1561969439728355,0.03742728569860608,10.55304850493315,483865,13.089563287861969,5
1,2,1,11901,49,12,4,16,89,0,0,0,0,48,0,0,48.0,48.0,18,1,7500000,SI,NO FUGA,1,1,1,1,49,1,1,1.0,1.0,1.0,49.0,0.02040816326530612,1.0,0.6931471805599453,48,3.8918202981106265,1
2,3,0,1651421,39,14,1,90,16,0,604169,0,0,323,26489,2925,323.0,604169.0,226688,1,8000000,NO,NO FUGA,1,604170,1,1,324,26490,2926,604170.0,1.6551632818577553e-06,1.0,324.0,81.75925925925925,0.11045677614194035,13.31161254943093,633906,13.35965753496251,4
3,4,1,638969,36,18,1,85,115,0,5125,0,198998,94,0,105,94.0,198998.0,74902,1,2600000,NO,NO FUGA,1,5126,1,198999,95,1,106,5126.0,0.00019508388607101054,198999.0,0.0004773893336147418,0.010526315789473684,106.0,8.5422759717837,204322,12.227457354009005,4
4,5,0,860113,44,14,1,45,80,0,11946,0,73959,149,0,272,149.0,73959.0,27532,1,6400000,NO,NO FUGA,1,11947,1,73960,150,1,273,11947.0,8.370302167908261e-05,73960.0,0.0020281233098972417,0.006666666666666667,273.0,9.388319179336001,86326,11.365897690249298,4
5,6,0,329463,40,14,1,53,92,0,187538,0,12008,641,118,154,118.0,187538.0,70207,2,7700000,NO,FUGA,1,187539,1,12009,642,119,155,187539.0,5.332224230693349e-06,12009.0,0.0534599050711966,0.1853582554517134,1.3025210084033614,12.141747434973617,200459,12.208370004578857,5
6,7,0,28732,45,18,1,55,90,559984,532706,0,0,1464,15600,1523,1464.0,559984.0,264948,1,2900000,NO,FUGA,559985,532707,1,1,1465,15601,1524,0.9512879809280606,1.8772045420841101e-06,1.0,1465.0,10.649146757679182,0.09768604576629704,0.6684896575795573,1111277,13.92102126234321,5
7,8,1,11563,41,14,2,47,112,0,141317,0,525325,13,0,477,13.0,525325.0,196789,1,2100000,SI,NO FUGA,1,141318,1,525326,14,1,478,141318.0,7.076239403331493e-06,525326.0,2.665011821231007e-05,0.07142857142857142,478.0,11.858775025308788,667132,13.410744705320013,4
8,9,1,3044549,33,12,1,22,1,0,102078,0,0,44,0,0,44.0,102078.0,38579,1,1600000,NO,NO FUGA,1,102079,1,1,45,1,1,102079.0,9.796334211737968e-06,1.0,45.0,0.022222222222222223,1.0,11.533512098578617,102122,11.533933248127209,2
9,10,1,3632707,39,12,4,27,89,0,162658,0,445896,865,0,907,865.0,445896.0,169346,1,2800000,NO,NO FUGA,1,162659,1,445897,866,1,908,162659.0,6.147830737924124e-06,445897.0,0.0019421525598961194,0.0011547344110854503,908.0,11.999417411720767,610326,13.321750158091444,4
10,11,1,2904507,46,12,1,41,103,1308419,773273,0,543085,9603,0,1845,1845.0,1308419.0,518352,1,3700000,NO,NO FUGA,1308420,773274,1,543086,9604,1,1846,0.5909983032971065,1.293202668135745e-06,543086.0,0.017684123693116744,0.00010412328196584757,1846.0,0.4643616829170588,2636225,14.784858906892998,5
11,12,1,81895,37,14,1,139,90,0,71058,0,0,40,0,0,40.0,71058.0,26854,1,1900000,NO,NO FUGA,1,71059,1,1,41,1,1,71059.0,1.407281273308096e-05,1.0,41.0,0.024390243902439025,1.0,11.171279869575018,71098,11.171828550994814,2
12,13,0,525874,48,18,1,52,93,222325,1055,0,0,597,0,0,597.0,222325.0,83927,1,1900000,NO,FUGA,222326,1056,1,1,598,1,1,0.004749781851875174,0.000946969696969697,1.0,598.0,0.0016722408026755853,1.0,0.004738537230329898,223977,12.319303111728123,3
13,14,0,63148,43,18,1,122,105,0,203033,0,139614,205,404,555,205.0,203033.0,85467,1,4800000,NO,FUGA,1,203034,1,139615,206,405,556,203034.0,4.925283450062551e-06,139615.0,0.0014754861583640725,1.9660194174757282,1.3728395061728396,12.221133656955478,343811,12.747850275335717,5
14,15,1,2620751,39,14,4,80,110,0,759881,0,94735,0,0,0,94735.0,759881.0,283447,0,3300000,NO,NO FUGA,1,759882,1,94736,1,1,1,759882.0,1.3159937990372189e-06,94736.0,1.0555649383550076e-05,1.0,1.0,13.54091975304298,854616,13.658408694341508,2
15,16,0,35296,40,12,1,128,88,0,0,0,0,181,0,0,181.0,181.0,68,1,1900000,NO,FUGA,1,1,1,1,182,1,1,1.0,1.0,1.0,182.0,0.005494505494505495,1.0,0.6931471805599453,181,5.204006687076795,1
16,17,0,28267,45,18,1,55,90,0,197999,0,503706,326,0,5994,326.0,503706.0,192069,3,4000000,SI,FUGA,1,198000,1,503707,327,1,5995,198000.0,5.050505050505051e-06,503707.0,0.0006491869281149557,0.0030581039755351682,5995.0,12.19602736016897,708025,13.47023609516542,4
